"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","RNA binding","GO:0003723","true","5.8500282017321904e-21","20.232842040272153","3099","28","28","20208","U2AF1,U2AF2,RBMX,SRSF1,SRSF2,SRSF3,SRSF4,SRSF5,SRSF6,SRSF7,SRSF8,SRSF9,SRSF10,SRSF11,SRSF12,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH2,HNRNPH3,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"GO:MF","nucleic acid binding","GO:0003676","false","4.2257205060046785e-14","13.374099231068373","5437","28","28","20208","U2AF1,U2AF2,RBMX,SRSF1,SRSF2,SRSF3,SRSF4,SRSF5,SRSF6,SRSF7,SRSF8,SRSF9,SRSF10,SRSF11,SRSF12,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH2,HNRNPH3,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"GO:MF","mRNA binding","GO:0003729","false","1.7717289269065633e-11","10.75160272407096","384","28","12","20208","RBMX,SRSF1,SRSF3,SRSF4,SRSF7,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPK,HNRNPL,HNRNPM,HNRNPU"
"GO:MF","single-stranded RNA binding","GO:0003727","false","7.648206075290022e-7","6.116440418828768","87","28","6","20208","U2AF2,HNRNPA1,HNRNPC,HNRNPH1,HNRNPF,HNRNPU"
"GO:MF","protein domain specific binding","GO:0019904","true","0.0000025000138395208402","5.602057587163603","627","28","10","20208","U2AF1,U2AF2,RBMX,SRSF7,SRSF9,SRSF10,SRSF12,HNRNPA1,HNRNPK,HNRNPM"
"GO:MF","RS domain binding","GO:0050733","false","0.000009745259055721757","5.0112066116540985","5","28","3","20208","U2AF1,SRSF10,SRSF12"
"GO:MF","poly-pyrimidine tract binding","GO:0008187","false","0.00003229794659034759","4.490825087973202","30","28","4","20208","U2AF2,HNRNPC,HNRNPH1,HNRNPU"
"GO:MF","pre-mRNA binding","GO:0036002","false","0.0010420208301071315","2.9821235993568735","293","28","6","20208","U2AF1,U2AF2,SRSF6,HNRNPA1,HNRNPL,HNRNPU"
"GO:MF","protein-RNA adaptor activity","GO:0140517","true","0.0012770123298312221","2.8938049095088543","21","28","3","20208","SRSF3,HNRNPA2B1,HNRNPC"
"GO:MF","mRNA 3'-UTR binding","GO:0003730","false","0.0065350911691008035","2.1847483493288515","111","28","4","20208","HNRNPA2B1,HNRNPC,HNRNPD,HNRNPU"
"GO:MF","pre-mRNA 3'-splice site binding","GO:0030628","false","0.007568132720449482","2.1210112604258415","5","28","2","20208","U2AF1,U2AF2"
"GO:MF","telomeric DNA binding","GO:0042162","true","0.007973142593427728","2.0983704688195925","38","28","3","20208","HNRNPA1,HNRNPA2B1,HNRNPD"
"GO:MF","regulatory RNA binding","GO:0061980","false","0.020617959063828205","1.6857543269858615","52","28","3","20208","HNRNPA1,HNRNPA2B1,HNRNPU"
"GO:MF","G-rich strand telomeric DNA binding","GO:0098505","false","0.03391082477954769","1.4696616471770811","10","28","2","20208","HNRNPA1,HNRNPA2B1"
"GO:MF","single-stranded telomeric DNA binding","GO:0043047","false","0.04965063396856973","1.304075201805181","12","28","2","20208","HNRNPA1,HNRNPA2B1"
"GO:MF","N6-methyladenosine-containing RNA reader activity","GO:1990247","false","0.04965063396856973","1.304075201805181","12","28","2","20208","HNRNPA2B1,HNRNPC"
"GO:BP","regulation of RNA splicing","GO:0043484","true","1.4500760887683916e-32","31.8386092087545","186","28","20","20972","U2AF2,RBMX,SRSF1,SRSF2,SRSF3,SRSF4,SRSF6,SRSF7,SRSF8,SRSF9,SRSF10,SRSF12,HNRNPA1,HNRNPH1,HNRNPH2,HNRNPH3,HNRNPF,HNRNPK,HNRNPL,HNRNPU"
"GO:BP","RNA splicing","GO:0008380","false","9.695208831036555e-25","24.01344283194989","1839","28","27","20972","U2AF1,U2AF2,RBMX,SRSF1,SRSF2,SRSF3,SRSF4,SRSF5,SRSF6,SRSF7,SRSF8,SRSF9,SRSF10,SRSF11,SRSF12,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPH1,HNRNPH2,HNRNPH3,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"GO:BP","regulation of mRNA splicing, via spliceosome","GO:0048024","false","1.480218001402502e-24","23.829674318501006","111","28","15","20972","U2AF2,RBMX,SRSF2,SRSF3,SRSF4,SRSF6,SRSF7,SRSF8,SRSF9,SRSF10,SRSF12,HNRNPA1,HNRNPK,HNRNPL,HNRNPU"
"GO:BP","regulation of mRNA processing","GO:0050684","false","2.609737004622043e-23","22.583403256338475","133","28","15","20972","U2AF2,RBMX,SRSF2,SRSF3,SRSF4,SRSF6,SRSF7,SRSF8,SRSF9,SRSF10,SRSF12,HNRNPA1,HNRNPK,HNRNPL,HNRNPU"
