Id,Label,Degree,Betweenness,Expression
11157,LSM6,38,2.67,0
27258,LSM3,38,2.67,0
23020,SNRNP200,38,2.67,0
9128,PRPF4,38,2.67,0
57819,LSM2,38,2.67,0
9343,EFTUD2,38,2.67,0
51691,LSM8,37,2.08,0
51690,LSM7,37,2.08,0
9129,PRPF3,37,2.08,0
26121,PRPF31,37,2.08,0
23658,LSM5,37,2.08,0
25804,LSM4,37,2.08,0
10291,SF3A1,37,0.42,0
6634,SNRPD3,37,0.42,0
84844,PHF5A,37,0.42,0
8175,SF3A2,37,0.42,0
6629,SNRPB2,37,0.42,0
6627,SNRPA1,37,0.42,0
9410,SNRNP40,37,0.42,0
6636,SNRPF,37,0.42,0
10262,SF3B4,37,0.42,0
6632,SNRPD1,37,0.42,0
23450,SF3B3,37,0.42,0
10992,SF3B2,37,0.42,0
23451,SF3B1,37,0.42,0
6633,SNRPD2,37,0.42,0
83443,SF3B5,37,0.42,0
10946,SF3A3,37,0.42,0
6637,SNRPG,37,0.42,0
6635,SNRPE,37,0.42,0
6628,SNRPB,37,0.42,0
10594,PRPF8,37,0.42,0
6626,SNRPA,36,0,0
6631,SNRPC,36,0,0
24148,PRPF6,36,0,0
10907,TXNL4A,36,0,0
6625,SNRNP70,36,0,0
10283,CWC27,26,0,0
9733,SART3,12,0,0
