Id,Label,Degree,Betweenness,Expression
8175,SF3A2,69,163.48,0
6426,SRSF1,66,268.84,0
6633,SNRPD2,66,81.02,0
6636,SNRPF,65,54.04,0
23451,SF3B1,64,64.81,0
6632,SNRPD1,64,58.25,0
6637,SNRPG,63,41.42,0
6635,SNRPE,63,41.42,0
6634,SNRPD3,62,42.94,0
10992,SF3B2,61,52.81,0
9343,EFTUD2,61,40.89,0
6625,SNRNP70,60,98.91,0
11338,U2AF2,59,109.04,0
10594,PRPF8,58,18.35,0
988,CDC5L,57,49.83,0
6628,SNRPB,57,22,0
23450,SF3B3,57,21.71,0
6627,SNRPA1,57,16.04,0
10291,SF3A1,56,21.78,0
23020,SNRNP200,56,19.09,0
10946,SF3A3,55,13.43,0
6629,SNRPB2,54,10.78,0
84844,PHF5A,53,11.35,0
9410,SNRNP40,53,7.93,0
6626,SNRPA,52,12.07,0
10262,SF3B4,52,8.77,0
83443,SF3B5,52,8.77,0
9416,DDX23,51,12,0
27339,PRPF19,50,23.09,0
22938,SNW1,49,11.25,0
9785,DHX38,48,55.39,0
11157,LSM6,47,7.19,0
57819,LSM2,47,7.19,0
24148,PRPF6,46,10.45,0
9129,PRPF3,46,7.92,0
27258,LSM3,46,6.77,0
23658,LSM5,46,6.55,0
25804,LSM4,45,8.05,0
51691,LSM8,45,6.33,0
51690,LSM7,45,6.13,0
5356,PLRG1,45,4.34,0
1665,DHX15,44,32.21,0
8449,DHX16,44,7.36,0
9128,PRPF4,44,7.06,0
51503,CWC15,44,3.85,0
6631,SNRPC,43,21.39,0
51340,CRNKL1,43,2.98,0
3178,HNRNPA1,41,43.7,0
26121,PRPF31,41,4.1,0
57703,CWC22,39,5.51,0
10907,TXNL4A,39,0.2,0
10283,CWC27,38,4.32,0
10713,USP39,38,0,0
3183,HNRNPC,37,27.75,0
4670,HNRNPM,36,30.98,0
10286,BCAS2,36,1.19,0
3181,HNRNPA2B1,35,28.78,0
7307,U2AF1,35,16.48,0
6428,SRSF3,33,22.95,0
3190,HNRNPK,33,21.52,0
3187,HNRNPH1,31,24.42,0
27316,RBMX,29,18.36,0
1659,DHX8,29,0.58,0
6432,SRSF7,28,13.33,0
6431,SRSF6,27,15.57,0
54883,CWC25,27,0.2,0
3192,HNRNPU,25,13.21,0
6427,SRSF2,25,6.31,0
8683,SRSF9,24,24.09,0
6430,SRSF5,24,8.86,0
3185,HNRNPF,23,8.47,0
1655,DDX5,21,17.72,0
3184,HNRNPD,21,8.04,0
10772,SRSF10,20,3.25,0
3191,HNRNPL,20,2.67,0
6429,SRSF4,19,5.37,0
23350,U2SURP,17,0.54,0
3188,HNRNPH2,16,1.05,0
11325,DDX42,15,0.53,0
9295,SRSF11,14,6.96,0
10521,DDX17,14,1.07,0
9733,SART3,13,0,0
3189,HNRNPH3,11,1.61,0
10929,SRSF8,9,0.32,0
11100,HNRNPUL1,6,0.66,0
135295,SRSF12,3,0,0
