Id,Label,Degree,Betweenness,Expression
6426,SRSF1,26,21.5,0
3178,HNRNPA1,23,4.71,0
3187,HNRNPH1,22,9.25,0
6431,SRSF6,22,5.56,0
3181,HNRNPA2B1,22,5.36,0
6427,SRSF2,22,4.06,0
11338,U2AF2,22,3.71,0
3190,HNRNPK,22,3.66,0
8683,SRSF9,21,18.05,0
27316,RBMX,21,6.59,0
6428,SRSF3,21,4.75,0
3183,HNRNPC,21,3.15,0
3185,HNRNPF,20,5.61,0
3184,HNRNPD,20,4.93,0
6432,SRSF7,20,4.48,0
4670,HNRNPM,19,2.81,0
3192,HNRNPU,18,3.78,0
10772,SRSF10,18,2.34,0
3191,HNRNPL,18,1.73,0
6430,SRSF5,16,1.64,0
7307,U2AF1,16,1.13,0
6429,SRSF4,15,2.35,0
3188,HNRNPH2,15,0.62,0
9295,SRSF11,12,3.83,0
3189,HNRNPH3,11,1.81,0
10929,SRSF8,9,0.36,0
11100,HNRNPUL1,5,0.22,0
135295,SRSF12,3,0,0
